ZIP CODE,Geography,Respite Reimbursement Rate ($/hr)
99630,ALASKA,44.05
99631,ALASKA,44.05
99632,ALASKA,44.05
99633,ALASKA,44.05
99634,ALASKA,44.05
99635,ALASKA,44.05
99636,ALASKA,44.05
99637,ALASKA,44.05
99638,ALASKA,44.05
99639,ALASKA,44.05
99640,ALASKA,44.05
99641,ALASKA,44.05
99643,ALASKA,44.05
99644,ALASKA,44.05
99645,ALASKA,44.05
99647,ALASKA,44.05
99648,ALASKA,44.05
99649,ALASKA,44.05
99650,ALASKA,44.05
99651,ALASKA,44.05
99652,ALASKA,44.05
99653,ALASKA,44.05
99654,ALASKA,44.05
99655,ALASKA,44.05
99656,ALASKA,44.05
99657,ALASKA,44.05
99658,ALASKA,44.05
99659,ALASKA,44.05
99660,ALASKA,44.05
99661,ALASKA,44.05
99662,ALASKA,44.05
99663,ALASKA,44.05
99664,ALASKA,44.05
99665,ALASKA,44.05
99666,ALASKA,44.05
99667,ALASKA,44.05
99668,ALASKA,44.05
99669,ALASKA,44.05
99670,ALASKA,44.05
99671,ALASKA,44.05
99672,ALASKA,44.05
99674,ALASKA,44.05
99675,ALASKA,44.05
99676,ALASKA,44.05
99677,ALASKA,44.05
99678,ALASKA,44.05
99679,ALASKA,44.05
99680,ALASKA,44.05
99681,ALASKA,44.05
99682,ALASKA,44.05
99683,ALASKA,44.05
99684,ALASKA,44.05
99685,ALASKA,44.05
99686,ALASKA,44.05
99687,ALASKA,44.05
99688,ALASKA,44.05
99689,ALASKA,44.05
99690,ALASKA,44.05
99691,ALASKA,44.05
99692,ALASKA,44.05
99693,ALASKA,44.05
99694,ALASKA,44.05
99695,ALASKA,44.05
99697,ALASKA,44.05
99701,ALASKA,44.05
99702,ALASKA,44.05
99703,ALASKA,44.05
99704,ALASKA,44.05
99705,ALASKA,44.05
99706,ALASKA,44.05
99707,ALASKA,44.05
99708,ALASKA,44.05
99709,ALASKA,44.05
99710,ALASKA,44.05
99711,ALASKA,44.05
99712,ALASKA,44.05
99714,ALASKA,44.05
99716,ALASKA,44.05
99720,ALASKA,44.05
99721,ALASKA,44.05
99722,ALASKA,44.05
99723,ALASKA,44.05
99724,ALASKA,44.05
99725,ALASKA,44.05
99726,ALASKA,44.05
99727,ALASKA,44.05
99729,ALASKA,44.05
99730,ALASKA,44.05
99731,ALASKA,44.05
99732,ALASKA,44.05
99733,ALASKA,44.05
99734,ALASKA,44.05
99736,ALASKA,44.05
99737,ALASKA,44.05
99738,ALASKA,44.05
99739,ALASKA,44.05
99740,ALASKA,44.05
99741,ALASKA,44.05
99742,ALASKA,44.05
99743,ALASKA,44.05
99744,ALASKA,44.05
99745,ALASKA,44.05
99746,ALASKA,44.05
99747,ALASKA,44.05
99748,ALASKA,44.05
99749,ALASKA,44.05
99750,ALASKA,44.05
99751,ALASKA,44.05
99752,ALASKA,44.05
99753,ALASKA,44.05
99754,ALASKA,44.05
99755,ALASKA,44.05
99756,ALASKA,44.05
99757,ALASKA,44.05
99758,ALASKA,44.05
99759,ALASKA,44.05
99760,ALASKA,44.05
99761,ALASKA,44.05
99762,ALASKA,44.05
99763,ALASKA,44.05
99764,ALASKA,44.05
99765,ALASKA,44.05
99766,ALASKA,44.05
99767,ALASKA,44.05
99768,ALASKA,44.05
99769,ALASKA,44.05
99770,ALASKA,44.05
99771,ALASKA,44.05
99772,ALASKA,44.05
99773,ALASKA,44.05
99774,ALASKA,44.05
99775,ALASKA,44.05
99776,ALASKA,44.05
99777,ALASKA,44.05
99778,ALASKA,44.05
99779,ALASKA,44.05
99780,ALASKA,44.05
99781,ALASKA,44.05
99782,ALASKA,44.05
99783,ALASKA,44.05
99784,ALASKA,44.05
99785,ALASKA,44.05
99786,ALASKA,44.05
99788,ALASKA,44.05
99789,ALASKA,44.05
99790,ALASKA,44.05
99791,ALASKA,44.05
99801,ALASKA,44.05
99802,ALASKA,44.05
99803,ALASKA,44.05
99811,ALASKA,44.05
99812,ALASKA,44.05
99820,ALASKA,44.05
99821,ALASKA,44.05
99824,ALASKA,44.05
99825,ALASKA,44.05
99826,ALASKA,44.05
99827,ALASKA,44.05
99829,ALASKA,44.05
99830,ALASKA,44.05
99832,ALASKA,44.05
99833,ALASKA,44.05
99835,ALASKA,44.05
99836,ALASKA,44.05
99840,ALASKA,44.05
99841,ALASKA,44.05
99850,ALASKA,44.05
99901,ALASKA,44.05
99903,ALASKA,44.05
99918,ALASKA,44.05
99919,ALASKA,44.05
99921,ALASKA,44.05
99922,ALASKA,44.05
99923,ALASKA,44.05
99925,ALASKA,44.05
99926,ALASKA,44.05
99927,ALASKA,44.05
99928,ALASKA,44.05
99929,ALASKA,44.05
99950,ALASKA,44.05
35004,ALABAMA,31.61
35005,ALABAMA,31.61
35006,ALABAMA,31.61
35007,ALABAMA,31.61
35010,ALABAMA,31.61
35011,ALABAMA,31.61
35013,ALABAMA,31.61
35014,ALABAMA,31.61
35015,ALABAMA,31.61
35016,ALABAMA,31.61
35019,ALABAMA,31.61
35020,ALABAMA,31.61
35021,ALABAMA,31.61
35022,ALABAMA,31.61
35023,ALABAMA,31.61
35031,ALABAMA,31.61
35032,ALABAMA,31.61
35033,ALABAMA,31.61
35034,ALABAMA,31.61
35035,ALABAMA,31.61
35036,ALABAMA,31.61
35038,ALABAMA,31.61
35040,ALABAMA,31.61
35041,ALABAMA,31.61
35042,ALABAMA,31.61
35043,ALABAMA,31.61
35044,ALABAMA,31.61
35045,ALABAMA,31.61
35046,ALABAMA,31.61
35048,ALABAMA,31.61
35049,ALABAMA,31.61
35051,ALABAMA,31.61
35052,ALABAMA,31.61
35053,ALABAMA,31.61
35054,ALABAMA,31.61
35055,ALABAMA,31.61
35056,ALABAMA,31.61
35057,ALABAMA,31.61
35058,ALABAMA,31.61
35060,ALABAMA,31.61
35061,ALABAMA,31.61
35062,ALABAMA,31.61
35063,ALABAMA,31.61
35064,ALABAMA,31.61
35068,ALABAMA,31.61
35070,ALABAMA,31.61
35071,ALABAMA,31.61
35072,ALABAMA,31.61
35073,ALABAMA,31.61
35074,ALABAMA,31.61
35077,ALABAMA,31.61
35078,ALABAMA,31.61
35079,ALABAMA,31.61
35080,ALABAMA,31.61
35082,ALABAMA,31.61
35083,ALABAMA,31.61
35085,ALABAMA,31.61
35087,ALABAMA,31.61
35089,ALABAMA,31.61
35091,ALABAMA,31.61
35094,ALABAMA,31.61
35096,ALABAMA,31.61
35097,ALABAMA,31.61
35098,ALABAMA,31.61
35111,ALABAMA,31.61
35112,ALABAMA,31.61
35114,ALABAMA,31.61
35115,ALABAMA,31.61
35116,ALABAMA,31.61
35117,ALABAMA,31.61
35118,ALABAMA,31.61
35119,ALABAMA,31.61
35120,ALABAMA,31.61
35121,ALABAMA,31.61
35123,ALABAMA,31.61
35124,ALABAMA,31.61
35125,ALABAMA,31.61
35126,ALABAMA,31.61
35127,ALABAMA,31.61
35128,ALABAMA,31.61
35130,ALABAMA,31.61
35131,ALABAMA,31.61
35133,ALABAMA,31.61
35135,ALABAMA,31.61
35136,ALABAMA,31.61
35137,ALABAMA,31.61
35139,ALABAMA,31.61
35142,ALABAMA,31.61
35143,ALABAMA,31.61
35144,ALABAMA,31.61
35146,ALABAMA,31.61
35147,ALABAMA,31.61
35148,ALABAMA,31.61
35149,ALABAMA,31.61
35150,ALABAMA,31.61
35151,ALABAMA,31.61
35160,ALABAMA,31.61
35161,ALABAMA,31.61
35171,ALABAMA,31.61
35172,ALABAMA,31.61
35173,ALABAMA,31.61
35175,ALABAMA,31.61
35176,ALABAMA,31.61
35178,ALABAMA,31.61
35179,ALABAMA,31.61
35180,ALABAMA,31.61
35181,ALABAMA,31.61
35182,ALABAMA,31.61
35183,ALABAMA,31.61
35184,ALABAMA,31.61
35185,ALABAMA,31.61
35186,ALABAMA,31.61
35187,ALABAMA,31.61
35188,ALABAMA,31.61
35201,ALABAMA,31.61
35202,ALABAMA,31.61
35203,ALABAMA,31.61
35204,ALABAMA,31.61
35205,ALABAMA,31.61
35206,ALABAMA,31.61
35207,ALABAMA,31.61
35208,ALABAMA,31.61
35209,ALABAMA,31.61
35210,ALABAMA,31.61
35211,ALABAMA,31.61
35212,ALABAMA,31.61
35213,ALABAMA,31.61
35214,ALABAMA,31.61
35215,ALABAMA,31.61
35216,ALABAMA,31.61
35217,ALABAMA,31.61
35218,ALABAMA,31.61
35219,ALABAMA,31.61
35220,ALABAMA,31.61
35221,ALABAMA,31.61
35222,ALABAMA,31.61
35223,ALABAMA,31.61
35224,ALABAMA,31.61
35225,ALABAMA,31.61
35226,ALABAMA,31.61
35228,ALABAMA,31.61
35229,ALABAMA,31.61
35230,ALABAMA,31.61
35231,ALABAMA,31.61
35232,ALABAMA,31.61
35233,ALABAMA,31.61
35234,ALABAMA,31.61
35235,ALABAMA,31.61
35236,ALABAMA,31.61
35237,ALABAMA,31.61
35238,ALABAMA,31.61
35240,ALABAMA,31.61
35242,ALABAMA,31.61
35243,ALABAMA,31.61
35244,ALABAMA,31.61
35245,ALABAMA,31.61
35246,ALABAMA,31.61
35249,ALABAMA,31.61
35253,ALABAMA,31.61
35254,ALABAMA,31.61
35255,ALABAMA,31.61
35259,ALABAMA,31.61
35260,ALABAMA,31.61
35261,ALABAMA,31.61
35263,ALABAMA,31.61
35266,ALABAMA,31.61
35270,ALABAMA,31.61
35277,ALABAMA,31.61
35278,ALABAMA,31.61
35279,ALABAMA,31.61
35280,ALABAMA,31.61
35281,ALABAMA,31.61
35282,ALABAMA,31.61
35283,ALABAMA,31.61
35285,ALABAMA,31.61
35286,ALABAMA,31.61
35287,ALABAMA,31.61
35288,ALABAMA,31.61
35289,ALABAMA,31.61
35290,ALABAMA,31.61
35291,ALABAMA,31.61
35292,ALABAMA,31.61
35293,ALABAMA,31.61
35294,ALABAMA,31.61
35295,ALABAMA,31.61
35296,ALABAMA,31.61
35297,ALABAMA,31.61
35298,ALABAMA,31.61
35299,ALABAMA,31.61
35401,ALABAMA,31.61
35402,ALABAMA,31.61
35403,ALABAMA,31.61
35404,ALABAMA,31.61
35405,ALABAMA,31.61
35406,ALABAMA,31.61
35407,ALABAMA,31.61
35440,ALABAMA,31.61
35441,ALABAMA,31.61
35442,ALABAMA,31.61
35443,ALABAMA,31.61
35444,ALABAMA,31.61
35446,ALABAMA,31.61
35447,ALABAMA,31.61
35448,ALABAMA,31.61
35449,ALABAMA,31.61
35452,ALABAMA,31.61
35453,ALABAMA,31.61
35456,ALABAMA,31.61
35457,ALABAMA,31.61
35458,ALABAMA,31.61
35459,ALABAMA,31.61
35460,ALABAMA,31.61
35461,ALABAMA,31.61
35462,ALABAMA,31.61
35463,ALABAMA,31.61
35464,ALABAMA,31.61
35466,ALABAMA,31.61
35468,ALABAMA,31.61
35469,ALABAMA,31.61
35470,ALABAMA,31.61
35471,ALABAMA,31.61
35473,ALABAMA,31.61
35474,ALABAMA,31.61
35475,ALABAMA,31.61
35476,ALABAMA,31.61
35477,ALABAMA,31.61
35478,ALABAMA,31.61
35480,ALABAMA,31.61
35481,ALABAMA,31.61
35482,ALABAMA,31.61
35485,ALABAMA,31.61
35486,ALABAMA,31.61
35487,ALABAMA,31.61
35490,ALABAMA,31.61
35491,ALABAMA,31.61
35501,ALABAMA,31.61
35502,ALABAMA,31.61
35503,ALABAMA,31.61
35504,ALABAMA,31.61
35540,ALABAMA,31.61
35541,ALABAMA,31.61
35542,ALABAMA,31.61
35543,ALABAMA,31.61
35544,ALABAMA,31.61
35545,ALABAMA,31.61
35546,ALABAMA,31.61
35548,ALABAMA,31.61
35549,ALABAMA,31.61
35550,ALABAMA,31.61
35551,ALABAMA,31.61
35552,ALABAMA,31.61
35553,ALABAMA,31.61
35554,ALABAMA,31.61
35555,ALABAMA,31.61
35559,ALABAMA,31.61
35560,ALABAMA,31.61
35563,ALABAMA,31.61
35564,ALABAMA,31.61
35565,ALABAMA,31.61
35570,ALABAMA,31.61
35571,ALABAMA,31.61
35572,ALABAMA,31.61
35573,ALABAMA,31.61
35574,ALABAMA,31.61
35575,ALABAMA,31.61
35576,ALABAMA,31.61
35577,ALABAMA,31.61
35578,ALABAMA,31.61
35579,ALABAMA,31.61
35580,ALABAMA,31.61
35581,ALABAMA,31.61
35582,ALABAMA,31.61
35584,ALABAMA,31.61
35585,ALABAMA,31.61
35586,ALABAMA,31.61
35587,ALABAMA,31.61
35592,ALABAMA,31.61
35593,ALABAMA,31.61
35594,ALABAMA,31.61
35601,ALABAMA,31.61
35602,ALABAMA,31.61
35603,ALABAMA,31.61
35609,ALABAMA,31.61
35610,ALABAMA,31.61
35611,ALABAMA,31.61
35612,ALABAMA,31.61
35613,ALABAMA,31.61
35614,ALABAMA,31.61
35615,ALABAMA,31.61
35616,ALABAMA,31.61
35617,ALABAMA,31.61
35618,ALABAMA,31.61
35619,ALABAMA,31.61
35620,ALABAMA,31.61
35621,ALABAMA,31.61
35622,ALABAMA,31.61
35630,ALABAMA,31.61
35631,ALABAMA,31.61
35632,ALABAMA,31.61
35633,ALABAMA,31.61
35634,ALABAMA,31.61
35640,ALABAMA,31.61
35643,ALABAMA,31.61
35645,ALABAMA,31.61
35646,ALABAMA,31.61
35647,ALABAMA,31.61
35648,ALABAMA,31.61
35649,ALABAMA,31.61
35650,ALABAMA,31.61
35651,ALABAMA,31.61
35652,ALABAMA,31.61
35653,ALABAMA,31.61
35654,ALABAMA,31.61
35660,ALABAMA,31.61
35661,ALABAMA,31.61
35662,ALABAMA,31.61
35670,ALABAMA,31.61
35671,ALABAMA,31.61
35672,ALABAMA,31.61
35673,ALABAMA,31.61
35674,ALABAMA,31.61
35677,ALABAMA,31.61
35699,ALABAMA,31.61
35739,ALABAMA,31.61
35740,ALABAMA,31.61
35741,ALABAMA,31.61
35742,ALABAMA,31.61
35744,ALABAMA,31.61
35745,ALABAMA,31.61
35746,ALABAMA,31.61
35747,ALABAMA,31.61
35748,ALABAMA,31.61
35749,ALABAMA,31.61
35750,ALABAMA,31.61
35751,ALABAMA,31.61
35752,ALABAMA,31.61
35754,ALABAMA,31.61
35755,ALABAMA,31.61
35756,ALABAMA,31.61
35757,ALABAMA,31.61
35758,ALABAMA,31.61
35759,ALABAMA,31.61
35760,ALABAMA,31.61
35761,ALABAMA,31.61
35762,ALABAMA,31.61
35763,ALABAMA,31.61
35764,ALABAMA,31.61
35765,ALABAMA,31.61
35766,ALABAMA,31.61
35767,ALABAMA,31.61
35768,ALABAMA,31.61
35769,ALABAMA,31.61
35771,ALABAMA,31.61
35772,ALABAMA,31.61
35773,ALABAMA,31.61
35774,ALABAMA,31.61
35775,ALABAMA,31.61
35776,ALABAMA,31.61
35801,ALABAMA,31.61
35802,ALABAMA,31.61
35803,ALABAMA,31.61
35804,ALABAMA,31.61
35805,ALABAMA,31.61
35806,ALABAMA,31.61
35807,ALABAMA,31.61
35808,ALABAMA,31.61
35809,ALABAMA,31.61
35810,ALABAMA,31.61
35811,ALABAMA,31.61
35812,ALABAMA,31.61
35813,ALABAMA,31.61
35814,ALABAMA,31.61
35815,ALABAMA,31.61
35816,ALABAMA,31.61
35824,ALABAMA,31.61
35893,ALABAMA,31.61
35894,ALABAMA,31.61
35895,ALABAMA,31.61
35896,ALABAMA,31.61
35897,ALABAMA,31.61
35898,ALABAMA,31.61
35899,ALABAMA,31.61
35901,ALABAMA,31.61
35902,ALABAMA,31.61
35903,ALABAMA,31.61
35904,ALABAMA,31.61
35905,ALABAMA,31.61
35906,ALABAMA,31.61
35907,ALABAMA,31.61
35950,ALABAMA,31.61
35951,ALABAMA,31.61
35952,ALABAMA,31.61
35953,ALABAMA,31.61
35954,ALABAMA,31.61
35956,ALABAMA,31.61
35957,ALABAMA,31.61
35958,ALABAMA,31.61
35959,ALABAMA,31.61
35960,ALABAMA,31.61
35961,ALABAMA,31.61
35962,ALABAMA,31.61
35963,ALABAMA,31.61
35964,ALABAMA,31.61
35966,ALABAMA,31.61
35967,ALABAMA,31.61
35968,ALABAMA,31.61
35971,ALABAMA,31.61
35972,ALABAMA,31.61
35973,ALABAMA,31.61
35974,ALABAMA,31.61
35975,ALABAMA,31.61
35976,ALABAMA,31.61
35978,ALABAMA,31.61
35979,ALABAMA,31.61
35980,ALABAMA,31.61
35981,ALABAMA,31.61
35983,ALABAMA,31.61
35984,ALABAMA,31.61
35986,ALABAMA,31.61
35987,ALABAMA,31.61
35988,ALABAMA,31.61
35989,ALABAMA,31.61
35990,ALABAMA,31.61
35999,ALABAMA,31.61
36003,ALABAMA,31.61
36005,ALABAMA,31.61
36006,ALABAMA,31.61
36008,ALABAMA,31.61
36009,ALABAMA,31.61
36010,ALABAMA,31.61
36013,ALABAMA,31.61
36015,ALABAMA,31.61
36016,ALABAMA,31.61
36017,ALABAMA,31.61
36020,ALABAMA,31.61
36022,ALABAMA,31.61
36023,ALABAMA,31.61
36024,ALABAMA,31.61
36025,ALABAMA,31.61
36026,ALABAMA,31.61
36027,ALABAMA,31.61
36028,ALABAMA,31.61
36029,ALABAMA,31.61
36030,ALABAMA,31.61
36031,ALABAMA,31.61
36032,ALABAMA,31.61
36033,ALABAMA,31.61
36034,ALABAMA,31.61
36035,ALABAMA,31.61
36036,ALABAMA,31.61
36037,ALABAMA,31.61
36038,ALABAMA,31.61
36039,ALABAMA,31.61
36040,ALABAMA,31.61
36041,ALABAMA,31.61
36042,ALABAMA,31.61
36043,ALABAMA,31.61
36045,ALABAMA,31.61
36046,ALABAMA,31.61
36047,ALABAMA,31.61
36048,ALABAMA,31.61
36049,ALABAMA,31.61
36051,ALABAMA,31.61
36052,ALABAMA,31.61
36053,ALABAMA,31.61
36054,ALABAMA,31.61
36057,ALABAMA,31.61
36061,ALABAMA,31.61
36062,ALABAMA,31.61
36064,ALABAMA,31.61
36065,ALABAMA,31.61
36066,ALABAMA,31.61
36067,ALABAMA,31.61
36068,ALABAMA,31.61
36069,ALABAMA,31.61
36071,ALABAMA,31.61
36072,ALABAMA,31.61
36075,ALABAMA,31.61
36078,ALABAMA,31.61
36079,ALABAMA,31.61
36080,ALABAMA,31.61
36081,ALABAMA,31.61
36082,ALABAMA,31.61
36083,ALABAMA,31.61
36087,ALABAMA,31.61
36088,ALABAMA,31.61
36089,ALABAMA,31.61
36091,ALABAMA,31.61
36092,ALABAMA,31.61
36093,ALABAMA,31.61
36100,ALABAMA,31.61
36101,ALABAMA,31.61
36102,ALABAMA,31.61
36103,ALABAMA,31.61
36104,ALABAMA,31.61
36105,ALABAMA,31.61
36106,ALABAMA,31.61
36107,ALABAMA,31.61
36108,ALABAMA,31.61
36109,ALABAMA,31.61
36110,ALABAMA,31.61
36111,ALABAMA,31.61
36112,ALABAMA,31.61
36113,ALABAMA,31.61
36114,ALABAMA,31.61
36115,ALABAMA,31.61
36116,ALABAMA,31.61
36117,ALABAMA,31.61
36118,ALABAMA,31.61
36119,ALABAMA,31.61
36120,ALABAMA,31.61
36121,ALABAMA,31.61
36123,ALABAMA,31.61
36124,ALABAMA,31.61
36125,ALABAMA,31.61
36130,ALABAMA,31.61
36131,ALABAMA,31.61
36132,ALABAMA,31.61
36133,ALABAMA,31.61
36134,ALABAMA,31.61
36135,ALABAMA,31.61
36140,ALABAMA,31.61
36141,ALABAMA,31.61
36142,ALABAMA,31.61
36177,ALABAMA,31.61
36191,ALABAMA,31.61
36201,ALABAMA,31.61
36202,ALABAMA,31.61
36203,ALABAMA,31.61
36204,ALABAMA,31.61
36205,ALABAMA,31.61
36206,ALABAMA,31.61
36207,ALABAMA,31.61
36210,ALABAMA,31.61
36250,ALABAMA,31.61
36251,ALABAMA,31.61
36253,ALABAMA,31.61
36254,ALABAMA,31.61
36255,ALABAMA,31.61
36256,ALABAMA,31.61
36257,ALABAMA,31.61
36258,ALABAMA,31.61
36260,ALABAMA,31.61
36261,ALABAMA,31.61
36262,ALABAMA,31.61
36263,ALABAMA,31.61
36264,ALABAMA,31.61
36265,ALABAMA,31.61
36266,ALABAMA,31.61
36267,ALABAMA,31.61
36268,ALABAMA,31.61
36269,ALABAMA,31.61
36270,ALABAMA,31.61
36271,ALABAMA,31.61
36272,ALABAMA,31.61
36273,ALABAMA,31.61
36274,ALABAMA,31.61
36275,ALABAMA,31.61
36276,ALABAMA,31.61
36277,ALABAMA,31.61
36278,ALABAMA,31.61
36279,ALABAMA,31.61
36280,ALABAMA,31.61
36301,ALABAMA,31.61
36302,ALABAMA,31.61
36303,ALABAMA,31.61
36304,ALABAMA,31.61
36305,ALABAMA,31.61
36310,ALABAMA,31.61
36311,ALABAMA,31.61
36312,ALABAMA,31.61
36313,ALABAMA,31.61
36314,ALABAMA,31.61
36316,ALABAMA,31.61
36317,ALABAMA,31.61
36318,ALABAMA,31.61
36319,ALABAMA,31.61
36320,ALABAMA,31.61
36321,ALABAMA,31.61
36322,ALABAMA,31.61
36323,ALABAMA,31.61
36330,ALABAMA,31.61
36331,ALABAMA,31.61
36340,ALABAMA,31.61
36343,ALABAMA,31.61
36344,ALABAMA,31.61
36345,ALABAMA,31.61
36346,ALABAMA,31.61
36349,ALABAMA,31.61
36350,ALABAMA,31.61
36351,ALABAMA,31.61
36352,ALABAMA,31.61
36353,ALABAMA,31.61
36360,ALABAMA,31.61
36361,ALABAMA,31.61
36362,ALABAMA,31.61
36370,ALABAMA,31.61
36371,ALABAMA,31.61
36373,ALABAMA,31.61
36374,ALABAMA,31.61
36375,ALABAMA,31.61
36376,ALABAMA,31.61
36401,ALABAMA,31.61
36419,ALABAMA,31.61
36420,ALABAMA,31.61
36421,ALABAMA,31.61
36425,ALABAMA,31.61
36426,ALABAMA,31.61
36427,ALABAMA,31.61
36429,ALABAMA,31.61
36431,ALABAMA,31.61
36432,ALABAMA,31.61
36435,ALABAMA,31.61
36436,ALABAMA,31.61
36439,ALABAMA,31.61
36441,ALABAMA,31.61
36442,ALABAMA,31.61
36444,ALABAMA,31.61
36445,ALABAMA,31.61
36446,ALABAMA,31.61
36449,ALABAMA,31.61
36451,ALABAMA,31.61
36453,ALABAMA,31.61
36454,ALABAMA,31.61
36455,ALABAMA,31.61
36456,ALABAMA,31.61
36457,ALABAMA,31.61
36458,ALABAMA,31.61
36460,ALABAMA,31.61
36461,ALABAMA,31.61
36462,ALABAMA,31.61
36467,ALABAMA,31.61
36470,ALABAMA,31.61
36471,ALABAMA,31.61
36473,ALABAMA,31.61
36474,ALABAMA,31.61
36475,ALABAMA,31.61
36476,ALABAMA,31.61
36477,ALABAMA,31.61
36480,ALABAMA,31.61
36481,ALABAMA,31.61
36482,ALABAMA,31.61
36483,ALABAMA,31.61
36501,ALABAMA,31.61
36502,ALABAMA,31.61
36503,ALABAMA,31.61
36504,ALABAMA,31.61
36505,ALABAMA,31.61
36507,ALABAMA,31.61
36509,ALABAMA,31.61
36511,ALABAMA,31.61
36512,ALABAMA,31.61
36513,ALABAMA,31.61
36515,ALABAMA,31.61
36518,ALABAMA,31.61
36521,ALABAMA,31.61
36522,ALABAMA,31.61
36523,ALABAMA,31.61
36524,ALABAMA,31.61
36525,ALABAMA,31.61
36526,ALABAMA,31.61
36527,ALABAMA,31.61
36528,ALABAMA,31.61
36529,ALABAMA,31.61
36530,ALABAMA,31.61
36532,ALABAMA,31.61
36533,ALABAMA,31.61
36535,ALABAMA,31.61
36536,ALABAMA,31.61
36538,ALABAMA,31.61
36539,ALABAMA,31.61
36540,ALABAMA,31.61
36541,ALABAMA,31.61
36542,ALABAMA,31.61
36543,ALABAMA,31.61
36544,ALABAMA,31.61
36545,ALABAMA,31.61
36547,ALABAMA,31.61
36548,ALABAMA,31.61
36549,ALABAMA,31.61
36550,ALABAMA,31.61
36551,ALABAMA,31.61
36553,ALABAMA,31.61
36555,ALABAMA,31.61
36556,ALABAMA,31.61
36558,ALABAMA,31.61
36559,ALABAMA,31.61
36560,ALABAMA,31.61
36561,ALABAMA,31.61
36562,ALABAMA,31.61
36564,ALABAMA,31.61
36567,ALABAMA,31.61
36568,ALABAMA,31.61
36569,ALABAMA,31.61
36570,ALABAMA,31.61
36571,ALABAMA,31.61
36572,ALABAMA,31.61
36574,ALABAMA,31.61
36575,ALABAMA,31.61
36576,ALABAMA,31.61
36577,ALABAMA,31.61
36578,ALABAMA,31.61
36579,ALABAMA,31.61
36580,ALABAMA,31.61
36581,ALABAMA,31.61
36582,ALABAMA,31.61
36583,ALABAMA,31.61
36584,ALABAMA,31.61
36585,ALABAMA,31.61
36586,ALABAMA,31.61
36587,ALABAMA,31.61
36590,ALABAMA,31.61
36601,ALABAMA,31.61
36602,ALABAMA,31.61
36603,ALABAMA,31.61
36604,ALABAMA,31.61
36605,ALABAMA,31.61
36606,ALABAMA,31.61
36607,ALABAMA,31.61
36608,ALABAMA,31.61
36609,ALABAMA,31.61
36610,ALABAMA,31.61
36611,ALABAMA,31.61
36612,ALABAMA,31.61
36613,ALABAMA,31.61
36614,ALABAMA,31.61
36615,ALABAMA,31.61
36616,ALABAMA,31.61
36617,ALABAMA,31.61
36618,ALABAMA,31.61
36619,ALABAMA,31.61
36621,ALABAMA,31.61
36622,ALABAMA,31.61
36623,ALABAMA,31.61
36624,ALABAMA,31.61
36625,ALABAMA,31.61
36626,ALABAMA,31.61
36628,ALABAMA,31.61
36630,ALABAMA,31.61
